ACQUISITION_COST,ADDRESS_HOME_CITY,ADDRESS_HOME_COUNTRY,ADDRESS_HOME_POSTAL_CODE,ADDRESS_HOME_STATE,ADDRESS_LAST_CHANGED_DATE,ADDRESS_MAILING_CITY,ADDRESS_MAILING_COUNTRY,ADDRESS_MAILING_POSTAL_CODE,ADDRESS_MAILING_STATE,ADDRESS_WORK_CITY,ADDRESS_WORK_COUNTRY,ADDRESS_WORK_POSTAL_CODE,ADDRESS_WORK_STATE,ADVERTISING_INDICATOR,AGE_RANGE,AGGREGATION_OPT_IN_INDICATOR,ANNUAL_INCOME,ATTACHMENT_ALLOWED_INDICATOR,BIRTH_YEAR,CONTACT_PREFERENCE,CREDIT_AUTHORITY_LEVEL,CREDIT_SCORE,CREDIT_UTILIZATION,CURRENT_EMPLOYMENT_START_DATE,CUSTOMER_BEHAVIOR,CUSTOMER_ID,DATE_FIRST_ACCOUNT_OPENED,DATE_LAST_ACCOUNT_OPENED,DEATH_YEAR,DEBT_SERVICE_COVERAGE_RATIO,EDUCATION_LEVEL,EFFECTIVE_DATE,EMPLOYMENT_STATUS,FAMILY_SIZE,GENDER,GEOGRAPHIC_AREA_HOME,GEOGRAPHIC_AREA_MAILING,GEOGRAPHIC_AREA_WORK,HEAD_OF_HOUSEHOLD_INDICATOR,HOME_OWNER_INDICATOR,HOUSEHOLD_ID,IMPORTANCE_LEVEL_CODE,INFLUENCE_SCORE,INTERNET_BANKING_INDICATOR,LIFE_CYCLE_STATUS_CHANGE_REASON,LIFE_CYCLE_STATUS_CODE,LOYALTY_RATING_CODE,MARITAL_STATUS,MARKET_GROUP,METRIC_BEHAVIOR_PROFILE,METRIC_BEHAVIOR_PROFILE_2,METRIC_BEHAVIOR_PROFILE_3,METRIC_BEHAVIOR_PROFILE_4,METRIC_BEHAVIOR_PROFILE_5,METRIC_COMMUNICATION_STYLE,METRIC_FINANCIAL_KNOWLEDGE_RATING,METRIC_LATEST_TONE,METRIC_NET_PROMOTER_SCORE,METRIC_PERSONALITY_TYPE,METRIC_SATISFACTION_LEVEL,METRIC_STRENGTH_OF_RELATIONSHIP,METRIC_TECH_SAVY,MONTHLY_HOUSING_COST,MONTHLY_NET_INCOME,NUMBER_OF_DEPENDENT_ADULTS,NUMBER_OF_DEPENDENT_CHILDREN,OLDEST_DEPENDENT_ADULT_BIRTH_YEAR,OLDEST_DEPENDENT_CHILD_BIRTH_YEAR,PERSONAL_INTEREST_TOPIC_1,PERSONAL_INTEREST_TOPIC_2,PREFERRED_COMMUNICATION_FORM,PRIMARY_ADVISOR_ID,PRIMARY_ADVISOR_ORGANIZATION_ID,PRIMARY_BRANCH_PROXIMITY,PRIMARY_SPOKEN_LANGUAGE,PRIMARY_WRITTEN_LANGUAGE,PROFESSION,PURSUIT,RECORDED_VOICE_SAMPLE_ID,REFERRALS_VALUE_CODE,RELATIONSHIP_START_DATE,RETIREMENT_AGE,SATISFACTION_RATING_FROM_SURVEY,SECONDARY_ADVISOR_ID,SECONDARY_ADVISOR_ORGANIZATION_ID,SPECIAL_TERMS_INDICATOR,STATUS,STATUS_DATE,STATUS_REASON,URBAN_CODE,USER_DEFINED_BOOLEAN_1,USER_DEFINED_BOOLEAN_2,USER_DEFINED_BOOLEAN_3,USER_DEFINED_BOOLEAN_4,USER_DEFINED_BOOLEAN_5,USER_DEFINED_DATE_1,USER_DEFINED_DATE_2,USER_DEFINED_DATE_3,USER_DEFINED_DATE_4,USER_DEFINED_DATE_5,USER_DEFINED_INTEGER_1,USER_DEFINED_INTEGER_2,USER_DEFINED_INTEGER_3,USER_DEFINED_INTEGER_4,USER_DEFINED_INTEGER_5,USER_DEFINED_NUMERIC_1,USER_DEFINED_NUMERIC_2,USER_DEFINED_NUMERIC_3,USER_DEFINED_NUMERIC_4,USER_DEFINED_NUMERIC_5,USER_DEFINED_STRING_1,USER_DEFINED_STRING_2,USER_DEFINED_STRING_3,USER_DEFINED_STRING_4,USER_DEFINED_STRING_5,WALLET_SHARE_PERCENTAGE,YOUNGEST_DEPENDENT_ADULT_BIRTH_YEAR,YOUNGEST_DEPENDENT_CHILD_BIRTH_YEAR
97.84268852346241,Metropolis,USA,P0J,West,2015-02-25,Metropolis,USA,P0J,West,Metropolis,USA,P0J,West,True,65 and over,True,133886.0,True,1947,none,Very High,719.0385976517744,0.18346184065005183,2017-05-26,Aggressive,1010,2018-09-05,2018-09-05,,1.0,PhD,2018-09-05,Retired,1,Female,USA West Virginia,USA West Virginia,USA West Virginia,True,FALSE,1010,Normal priority,117927,False,,,50537,Single,Spending,,,,,,,,,,,,,,2008.2899999999997,6694.299999999999,0,0,,,,,In Person,1007,,617.0756427658993,English,English,Professor,Increase Net Worth,89809,Very High,2018-09-05,67,very satisfied,121837,73096,False,Active,2018-09-05,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,19,,
62.49371431139888,Smallville,USA,B1Z,Nevada,2015-10-25,Smallville,USA,B1Z,Nevada,Smallville,USA,B1Z,Nevada,True,30 to 40,True,105011.0,True,1980,phone,Medium,769.1238445835436,0.4688740156157271,2014-12-01,Growth,1011,2016-01-31,2016-01-31,,1.0,College,2016-01-31,Employed,3,Male,USA Nevada,USA Nevada,USA Nevada,False,TRUE,1011,High priority,138470,True,,,79627,Married,Accumulating,,,,,,,,,,,,,,1575.165,5250.55,0,1,,,,,Email,1019,,644.1900705594915,English,English,Accountant,Estate Planning,73627,Low,2016-01-31,67,satisfied,131454,80985,False,Active,2016-01-31,,City,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
76.68639471885099,Metropolis,USA,P0J,Vermont,2014-10-21,Metropolis,USA,P0J,Vermont,Metropolis,USA,P0J,Vermont,True,65 and over,True,94875.0,True,1948,mail,Low,730.2708627511969,0.3669821380114023,2015-01-16,Growth,1012,2016-04-28,2016-04-28,,1.0,PhD,2016-04-28,Homemaker,1,Female,USA Vermont,USA Vermont,USA Vermont,False,TRUE,1012,High priority,60734,False,,,67446,Single,Accumulating,,,,,,,,,,,,,,1423.125,4743.75,0,0,,,,,Teleconference,,1864,685.6761080505592,English,English,Data Scientist,Increase Net Worth,103183,Very Low,2016-04-28,67,very satisfied,108110,118832,True,Active,2016-04-28,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,64,,
97.54983659932562,Castle Rock,USA,Q4L,Wyoming,2015-04-11,Castle Rock,USA,Q4L,Wyoming,Castle Rock,USA,Q4L,Wyoming,True,40 to 55,True,142078.0,True,1966,phone,Very Low,715.1838310975212,0.46064632389028254,2015-09-22,Growth,1013,2017-06-12,2017-06-12,,1.0,University,2017-06-12,Employed,4,Male,USA Wyoming,USA Wyoming,USA Wyoming,True,FALSE,1013,High priority,96577,True,,,45283,Married,Accumulating,,,,,,,,,,,,,,2131.17,7103.900000000001,0,2,,,,,Teleconference,1011,,565.4022983855788,English,English,Data Scientist,Increase Net Worth,100454,Very Low,2017-06-12,67,very satisfied,134258,116852,False,Active,2017-06-12,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
51.0817485268736,Los Santos,USA,K0K,Texas,2016-11-24,Los Santos,USA,K0K,Texas,Los Santos,USA,K0K,Texas,True,65 and over,True,138073.0,True,1938,phone,Very High,719.4139643425152,0.5368872771859411,2015-01-12,Aggressive,1014,2018-02-07,2018-02-07,,1.0,Professional,2018-02-07,Homemaker,1,Female,USA Texas,USA Texas,USA Texas,True,FALSE,1014,Normal priority,114342,False,,,124230,Single,Gifting,,,,,,,,,,,,,,2071.0950000000003,6903.650000000001,0,0,,,,,In Person,1009,,938.6477734408143,English,English,Professor,Increase Net Worth,97616,Medium,2018-02-07,67,very satisfied,137383,99782,False,Active,2018-02-07,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,68,,
82.87723690866885,Castle Rock,USA,Q4L,Wyoming,2015-09-29,Castle Rock,USA,Q4L,Wyoming,Castle Rock,USA,Q4L,Wyoming,True,40 to 55,True,109127.0,True,1966,none,Low,705.5216376990587,0.5818570961962496,2015-03-10,Growth,1015,2016-05-21,2016-05-21,,1.0,University,2016-05-21,Homemaker,4,Male,USA Wyoming,USA Wyoming,USA Wyoming,True,TRUE,1015,High priority,125139,False,,,92014,Married,Accumulating,,,,,,,,,,,,,,1636.9049999999997,5456.349999999999,0,2,,,,,Teleconference,,1831,160.22173649788968,English,English,Data Scientist,Increase Net Worth,52208,Low,2016-05-21,67,very satisfied,50931,142834,False,Active,2016-05-21,,City,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
46.40448283471492,Bedrock,Canada,G1K,BC,2015-02-06,Bedrock,Canada,G1K,BC,Bedrock,Canada,G1K,BC,True,55 to 65,True,117516.0,True,1956,none,Very Low,701.7882671771333,0.5045351097624201,2016-04-12,Growth,1016,2017-12-22,2017-12-22,,1.0,PhD,2017-12-22,Homemaker,1,Female,Canada BC British Columbia,Canada BC British Columbia,Canada BC British Columbia,True,FALSE,1016,High priority,61331,False,,,66919,Single,Accumulating,,,,,,,,,,,,,,1762.7399999999998,5875.799999999999,0,0,,,,,In Person,1011,,523.4879593517217,English,English,Professor,Increase Net Worth,133612,Very High,2017-12-22,67,very satisfied,118324,84689,True,Active,2017-12-22,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,68,,
44.38644319965095,Metropolis,Canada,P0J,NT,2015-08-26,Metropolis,Canada,P0J,NT,Metropolis,Canada,P0J,NT,True,65 and over,True,165652.5,True,1949,none,Very High,693.9753547841495,0.19077450498499227,2016-06-23,Aggressive,1017,2016-02-04,2016-02-04,,1.0,PhD,2018-02-03,Employed,2,Male,Canada NT Northwest Territories,Canada NT Northwest Territories,Canada NT Northwest Territories,False,FALSE,1017,Normal priority,139275,False,,,120024,Married,Spending,,,,,,,,,,,,,,2484.7875,8282.625,0,0,,,,,Other,1017,,355.5655983411533,English,English,Professor,Increase Net Worth,68135,Medium,2016-02-04,67,very satisfied,104563,52601,False,Inactive,2018-02-03,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
7.949610775948107,Star City,USA,G1K,North,2016-11-03,Star City,USA,G1K,North,Star City,USA,G1K,North,True,55 to 65,True,73561.0,True,1958,phone,Medium,792.0887650071155,0.7980282559894638,2016-10-06,Growth,1018,2017-10-17,2017-10-17,,1.0,PhD,2017-10-17,Homemaker,4,Female,USA North Carolina,USA North Carolina,USA North Carolina,True,TRUE,1018,High priority,56471,True,,,84012,Married,Accumulating,,,,,,,,,,,,,,1103.415,3678.0499999999997,0,2,,,,,Teleconference,1010,,682.2721440300531,English,English,Data Scientist,Estate Planning,87366,Very High,2017-10-17,67,satisfied,103646,144027,False,Active,2017-10-17,,City,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
35.70608233496656,Los Santos,USA,K0K,Oklahoma,2014-06-16,Los Santos,USA,K0K,Oklahoma,Los Santos,USA,K0K,Oklahoma,True,65 and over,True,117436.0,True,1943,phone,Very High,655.5797895032487,0.7184573207644267,2015-08-18,Aggressive,1019,2016-02-28,2016-02-28,,1.0,Professional,2016-02-28,Retired,1,Female,USA Oklahoma,USA Oklahoma,USA Oklahoma,True,FALSE,1019,Normal priority,144320,True,,,124285,Single,Spending,,,,,,,,,,,,,,1761.5399999999997,5871.799999999999,0,0,,,,,In Person,,1824,416.6760336549688,English,English,Professor,Increase Net Worth,47348,Very Low,2016-02-28,67,very satisfied,45411,125602,False,Active,2016-02-28,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
78.75822589194796,Pallet Town,USA,Q4L,Louisiana,2016-03-10,Pallet Town,USA,Q4L,Louisiana,Pallet Town,USA,Q4L,Louisiana,True,40 to 55,True,107307.0,True,1967,none,Low,651.6431427166183,0.2840051719373997,2016-01-06,Growth,1020,2018-09-14,2018-09-14,,1.0,University,2018-09-14,Homemaker,4,Male,USA Louisiana,USA Louisiana,USA Louisiana,True,TRUE,1020,High priority,65915,True,,,71013,Married,Accumulating,,,,,,,,,,,,,,1609.6049999999998,5365.349999999999,0,2,,,,,Teleconference,1002,,726.7521500024993,English,English,Data Scientist,Increase Net Worth,143770,Medium,2018-09-14,67,very satisfied,97977,121718,True,Active,2018-09-14,,City,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
62.48011789425165,Riverdale,Canada,K0K,NU,2015-11-28,Riverdale,Canada,K0K,NU,Riverdale,Canada,K0K,NU,True,40 to 55,True,76540.0,True,1962,email,Medium,704.3611400732532,0.08600125113643331,2015-02-20,Growth,1021,2017-12-22,2017-12-22,,1.0,University,2017-12-22,Homemaker,4,Female,Canada NU Nunavut,Canada NU Nunavut,Canada NU Nunavut,False,TRUE,1021,High priority,50588,False,,,46449,Married,Accumulating,,,,,,,,,,,,,,1148.1,3827.0,0,2,,,,,Teleconference,1000,,588.8383610299935,English,English,Data Scientist,Estate Planning,64795,High,2017-12-22,67,satisfied,108543,82018,False,Active,2017-12-22,,City,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
32.57858874327113,Coruscant,USA,A1Z,New,2015-09-13,Coruscant,USA,A1Z,New,Coruscant,USA,A1Z,New,True,23 to 30,True,52247.0,True,1992,mail,Very High,692.1055134151312,0.2803535317701882,2016-03-10,Conserviti,1022,2017-09-03,2017-09-03,,1.0,High School,2017-09-03,Unemployed,3,Male,USA New Mexico,USA New Mexico,USA New Mexico,True,TRUE,1022,Low priority,67084,False,,,101634,Married,Starting,,,,,,,,,,,,,,783.7049999999999,2612.35,0,1,,,,,Email,1017,,58.588032532507874,English,English,Trades person,Education Planning,75552,Very High,2017-09-03,67,dissatisfied,114992,132226,False,Active,2017-09-03,,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
85.72792537749945,Smallville,USA,B1Z,Virginia,2015-11-12,Smallville,USA,B1Z,Virginia,Smallville,USA,B1Z,Virginia,True,30 to 40,True,50210.0,True,1979,email,High,775.6122600014736,0.7128943556276222,2015-03-03,Conserviti,1023,2016-04-24,2016-04-24,,1.0,College,2016-04-24,Employed,3,Male,USA Virginia,USA Virginia,USA Virginia,False,TRUE,1023,Low priority,120468,True,,,124213,Married,Accumulating,,,,,,,,,,,,,,753.15,2510.5,0,1,,,,,Email,1012,,519.2858172448523,English,English,Lawyer,Capital Acquisition,114347,Very High,2016-04-24,67,neutral,96164,69393,True,Active,2016-04-24,,City,,,,,,,,,,,,,,,,,,,,,,,,,,47,,
99.03584369104061,Castle Rock,USA,Q4L,Indiana,2015-08-30,Castle Rock,USA,Q4L,Indiana,Castle Rock,USA,Q4L,Indiana,True,40 to 55,True,116702.0,True,1970,none,Low,775.2600889356112,0.4753698842426609,2015-09-13,Growth,1024,2016-07-23,2016-07-23,,1.0,College,2016-07-23,Employed,4,Male,USA Indiana,USA Indiana,USA Indiana,True,TRUE,1024,High priority,134632,True,,,95325,Married,Accumulating,,,,,,,,,,,,,,1750.5299999999997,5835.099999999999,0,2,,,,,Teleconference,,1831,462.59286310414495,English,English,Data Scientist,Estate Planning,117677,Very High,2016-07-23,67,satisfied,60874,144756,True,Active,2016-07-23,,City,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
39.14443146295618,Smallville,Canada,A1Z,PE,2014-02-26,Smallville,Canada,A1Z,PE,Smallville,Canada,A1Z,PE,True,23 to 30,True,55555.0,True,1992,mail,Very High,713.7506709011176,0.3103544813742901,2015-12-07,Conserviti,1025,2016-08-24,2016-08-24,,1.0,High School,2016-08-24,Unemployed,3,Male,Canada PE Prince Edward Island,Canada PE Prince Edward Island,Canada PE Prince Edward Island,True,TRUE,1025,Low priority,91437,False,,,58769,Married,Starting,,,,,,,,,,,,,,833.3249999999999,2777.75,0,1,,,,,Email,1013,,986.7369521928033,English,English,Trades person,Education Planning,50250,Very High,2016-08-24,67,neutral,87799,134853,False,Active,2016-08-24,,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
